Offer Title,Description,Link,Image,Eligible Credit Cards,Eligible Debit Cards
"Flat 12% OFF (up to Rs.1,800) - ICICI","Coupon Code : YTICICIEMI
 Validity: Sep 30, 2025",https://www.yatra.com/offer/details/icici-bank-emi-offers,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/640752d66eae6dc33ad834999ad4e58c.jpg,"MakeMyTrip ICICI Bank Credit Card
ICICI Bank HPCL Super Saver Credit Card
ICICI Bank HPCL Super Saver RuPay Credit Card
ICICI Bank Sapphiro Credit Card
ICICI Parakram Select Credit Card
Emirates Skywards ICICI Bank Emerald Credit Card
Accelero ICICI Bank Credit Card
ICICI HPCL Coral Credit Card
MakeMyTrip ICICI Bank Platinum Credit Card
Makemytrip ICICI Bank Signature Credit Card
ICICI Bank Manchester United Platinum Credit Card
ICICI Parakram Credit Card
ICICI Bank Expressions Credit Card
Emirates Skywards Rubyx Credit Card
Adani One ICICI Platinum Credit Card 
Adani One ICICI Signature Credit Card 
ICICI Bank Emeralde Credit Card
ICICI Bank Instant Platinum Credit Card
ICICI Bank Manchester United Signature Credit Card
ICICI Bank Credit Card
ICICI Bank Coral RuPay Credit Card 
Chennai Super Kings ICICI Bank Credit Card
ICICI Bank Coral Credit Card
ICICI Bank Rubyx RuPay Credit Card 
ICICI Bank Rubyx Credit Card
ICICI Bank Platinum Chip Credit Card 
ICICI Bank Times Black Credit Card",
"Up to Rs. 2,400 OFF* - RBL","Coupon Code : YATRARBL
 Validity: Sep 30, 2025",https://www.yatra.com/offer/details/rbl-credit-card-offers,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/3c6657db3c6e3e99aa33a8ec5f351f20.jpg,"RBL Bank VCard
RBL Bank Cookie Credit Card
RBL Bank Shoprite Credit Card
RBL Platinum Maxima Plus Card
RBL Bank MoneyTap Black Card
RBL Bank Platinum Maxima Credit Card
RBL Bank Movies and More Credit Card
RBL Bank Paisabazaar Duet Plus Card
RBL Bank Bankbazaar Savemax Pro Credit Card
RBL Bank Bankbazaar Savemax Credit Card
RBL Bank iGlobe Credit Card 
RBL Bank Insignia Preferred Banking Card
RBL Bank Play Credit Card
RBL Bank World Safari Credit Card
RBL Bank Platinum Delight Credit Card
RBL Bank Monthly Treats Credit Card  
RBL Bank Lazy Pay Credit Card 
RBL Bank Icon Credit Card
RBL Bank Paisabazaar Duet Card
RBL Bank MoneyTap Credit Card
RBL Bank Mocash Credit Card
RBL Bank Platinum Classic Credit Card
RBL Bank Platinum Advantage Credit Card   
RBL Bank Platinum Plus Visa Credit Card 
RBL Bank Platinum ValuePlus MasterCard Credit Card  
RBL Bank Novio RuPay Credit Card
RBL Bank Platinum ValuePlus Credit Card 
RBL Bank Patanjali Vishisht RuPay Card 
RBL Bank Platinum Shopgain Visa Credit Card  
RBL Bank Platinum Bonus Credit Card  
RBL Bank Platinum ShopSmart MasterCard Credit Card  
RBL Bank Binge Credit Card     
TVS Credit RBL Bank Gold Mastercard Card 
IndianOil RBL Bank Credit Card
RBL Bank MyFirst Credit Card  
RBL Bank Platinum ShopDaily Credit Card 
RBL Bank Platinum Shopgain  Credit Card
RBL Bank Platinum Edge MasterCard 
RBL Bank MyFirst Mastercard Credit Card   
RBL Bank Platinum Choice Visa Credit Card   
RBL Bank EasySaver Visa Credit Card 
RBL Bank Play Credit Card
IRCTC RBL Bank Credit Card
TVS Credit RBL Bank Card 
RBL Bank SalarySe Up RuPay Credit Card
RBL Bank EasySaver Credit Card  
RBL Bank Binge MasterCard Credit Card    
RBL Bank World Prime Visa Credit Card 
RBL Bank Platinum Plus Credit Card  
RBL Bank World Max Credit Card  
IndianOil RBL Bank XTRA RuPay Credit Card
IndianOil RBL Bank RuPay Credit Card
RBL Bank World Prime Credit Card 
RBL Bank Platinum ShopDaily Visa Credit Card
RBL Bank Patanjali Swarn RuPay Card
RBL Bank Platinum Prime Credit Card 
RBL Bank World Max MasterCard Credit Card
RBL Bank Platinum Choice Credit Card
RBL Bank Platinum Shopsmart Credit Card 
RBL Bank World Plus MasterCard Credit Card 
RBL Bank World Plus Credit Card  
Indianoil RBL Bank Xtra Credit Card
RBL Bank DMI Finance Credit Card
RBL Bank Platinum TravelEasy Visa Credit Card 
RBL Bank Platinum LifeEasy Visa Credit Card
RBL Bank Platinum TravelEasy Credit Card 
RBL Bank Platinum Edge Credit Card
RBL Bank Platinum LifeEasy Credit Card",
"Up to Rs. 2,400 OFF -  HSBC","Coupon Code : YATRAHSBC
 Validity: Sep 30, 2025",https://www.yatra.com/offer/details/hsbc-credit-card-sale,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Aug/6d05c6ed048358c6575c15df023da7de.jpg,"HSBC Live+ Credit Card
HSBC Visa Platinum Credit Card
HSBC Taj Credit Card
HSBC TravelOne Credit Card
HSBC Premier Mastercard Credit Card",
"Up to Rs. 2,400 OFF* - AU","Coupon Code : YATRAAU
 Validity: Sep 30, 2025",https://www.yatra.com/offer/details/au-credit-card-offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Sep/65bfc4a3b5c02f16869468454e741cc9.jpg,"AU Bank Zenith+ Credit Card
AU Altura Credit Card
AU Zenith Credit Card 
AU LIT Credit Card
Ixigo AU Travel Credit Card
AU Vetta Credit Card
AU Bank InstaPay Credit Card
AU Bank Altura Plus Credit Card ",
"Flat 12% OFF (up to Rs.1,800) - HSBC","Coupon Code : YRHSBCEMI
 Validity: Sep 30, 2025",https://www.yatra.com/offer/details/hsbc-bank-emi-offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jun/5112460ab323641bcacdc0d85c2229a1.jpg,"HSBC Live+ Credit Card
HSBC Visa Platinum Credit Card
HSBC Taj Credit Card
HSBC TravelOne Credit Card
HSBC Premier Mastercard Credit Card",
"Up to Rs. 1,500 OFF + 3 Months No Cost EMI - HDFC","Coupon Code : YRHDFCCCEMI
 Validity: Sep 30, 2025",https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/88407860a64b7037bcaeeb62e985b827.jpg,"HDFC Pixel Play Credit Card
Paytm HDFC Bank Select Business Credit Card
HDFC Millennia Credit Card
IRCTC HDFC Bank Credit Card
Tata Neu Infinity HDFC Bank RuPay Credit Card
Tata Neu Infinity HDFC Bank Credit Card
Tata Neu Plus HDFC Bank Credit Card 
Intermiles HDFC Bank Diners Club Credit Card
Shoppers Stop Black HDFC Bank Credit Card
Tata Neu Plus HDFC Bank RuPay Credit Card
HDFC Swiggy Credit Card 
Flipkart Wholesale HDFC Bank Credit Card
HDFC Bank Freedom Credit Card
HDFC Bharat Credit Card
 HDFC Biz Black Metal Edition Credit Card
IndianOil HDFC Bank RuPay Credit Card 
Indianoil HDFC Bank Credit Card
HDFC Regalia Gold Credit Card
HDFC H.O.G. Diners Club Credit Card
HDFC Diners Club Black Credit Card
Paytm HDFC Bank Business Credit Card
HDFC Bank Infinia Credit Card Metal Edition
Shoppers Stop HDFC Bank Credit Card
HDFC Bank Harley-Davidson Diners Club Credit Card ??
Marriott Bonvoy HDFC Bank Credit Card
6E Rewards XL IndiGo HDFC Bank Credit Card
6E Rewards Indigo HDFC Bank Credit Card
HDFC Bank MoneyBack Plus RuPay Credit Card
HDFC Bank Moneyback Plus Credit Card
Easy EMI Card
HDFC Bank Business Regalia First Credit Card
Intermiles HDFC Bank Platinum Credit Card
HDFC Pixel Go Credit Card 
HDFC Pixel Go Rupay Credit Card 
HDFC Bank Business Gold Credit Card
HDFC Bank Biz First Credit Card
HDFC Bank World Mastercard Credit Card
InterMiles HDFC Bank Signature Credit Card
 CSC Small Business MoneyBack Credit Card
HDFC Bank Titanium Times Card
HDFC Bank Platinum Times Credit Card
HDFC Bank Biz Grow Credit Card 
HDFC All Miles Credit Card
HDFC Moneyback Credit Card
HDFC Bank Biz Grow Credit Card
HDFC Bank UPI RuPay Biz Credit Card
HDFC Bank UPI RuPay Credit Card 
HDFC Bank Biz Power Credit Card
HDFC Bank Biz Power Visa Credit Card 
HDFC Diners Club Privilege Credit Card",
"Flat 12% OFF (up to Rs. 1,600) - BOB","Coupon Code : YRBOBCCEMI
 Validity: Sep 30, 2025",https://www.yatra.com/offer/details/BOBCARD-emi-offers,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/2a6c1ef75ecbdf1470ebb83aa2c3ac85.jpg,"HPCL BoB ENERGIE
IRCTC Bobcard
BOB Assure Credit Card
Snapdeal Bobcard
Bank of Baroda ETERNA Credit card
Bank of Baroda Premier Credit Card
Bank of Baroda EASY Credit Card
Bobcard Select
Prime Bobcard
CMA One Bobcard
Indian Navy Varunah Premium Bobcard
Eterna Bobcard
ICSI Diamond Bobcard
Assam Rifles The Sentinel Bobcard
ICAI Exclusive Bobcard
Indian Army Yoddha Bobcard
Swavlamban Bobcard
Unnati Bobcard
Indian Coast Guard Rakshamah Bank of Baroda",
"Flat 12% OFF (up to Rs. 1,500) - RBL","Coupon Code : YTRBLEMI
 Validity: Dec 31, 2025",https://www.yatra.com/offer/details/rbl-card-emi-offers,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jan/669868a9d1288614196304f401e20c02.jpg,"RBL Bank VCard
RBL Bank Cookie Credit Card
RBL Bank Shoprite Credit Card
RBL Platinum Maxima Plus Card
RBL Bank MoneyTap Black Card
RBL Bank Platinum Maxima Credit Card
RBL Bank Movies and More Credit Card
RBL Bank Paisabazaar Duet Plus Card
RBL Bank Bankbazaar Savemax Pro Credit Card
RBL Bank Bankbazaar Savemax Credit Card
RBL Bank iGlobe Credit Card 
RBL Bank Insignia Preferred Banking Card
RBL Bank Play Credit Card
RBL Bank World Safari Credit Card
RBL Bank Platinum Delight Credit Card
RBL Bank Monthly Treats Credit Card  
RBL Bank Lazy Pay Credit Card 
RBL Bank Icon Credit Card
RBL Bank Paisabazaar Duet Card
RBL Bank MoneyTap Credit Card
RBL Bank Mocash Credit Card
RBL Bank Platinum Classic Credit Card
RBL Bank Platinum Advantage Credit Card   
RBL Bank Platinum Plus Visa Credit Card 
RBL Bank Platinum ValuePlus MasterCard Credit Card  
RBL Bank Novio RuPay Credit Card
RBL Bank Platinum ValuePlus Credit Card 
RBL Bank Patanjali Vishisht RuPay Card 
RBL Bank Platinum Shopgain Visa Credit Card  
RBL Bank Platinum Bonus Credit Card  
RBL Bank Platinum ShopSmart MasterCard Credit Card  
RBL Bank Binge Credit Card     
TVS Credit RBL Bank Gold Mastercard Card 
IndianOil RBL Bank Credit Card
RBL Bank MyFirst Credit Card  
RBL Bank Platinum ShopDaily Credit Card 
RBL Bank Platinum Shopgain  Credit Card
RBL Bank Platinum Edge MasterCard 
RBL Bank MyFirst Mastercard Credit Card   
RBL Bank Platinum Choice Visa Credit Card   
RBL Bank EasySaver Visa Credit Card 
RBL Bank Play Credit Card
IRCTC RBL Bank Credit Card
TVS Credit RBL Bank Card 
RBL Bank SalarySe Up RuPay Credit Card
RBL Bank EasySaver Credit Card  
RBL Bank Binge MasterCard Credit Card    
RBL Bank World Prime Visa Credit Card 
RBL Bank Platinum Plus Credit Card  
RBL Bank World Max Credit Card  
IndianOil RBL Bank XTRA RuPay Credit Card
IndianOil RBL Bank RuPay Credit Card
RBL Bank World Prime Credit Card 
RBL Bank Platinum ShopDaily Visa Credit Card
RBL Bank Patanjali Swarn RuPay Card
RBL Bank Platinum Prime Credit Card 
RBL Bank World Max MasterCard Credit Card
RBL Bank Platinum Choice Credit Card
RBL Bank Platinum Shopsmart Credit Card 
RBL Bank World Plus MasterCard Credit Card 
RBL Bank World Plus Credit Card  
Indianoil RBL Bank Xtra Credit Card
RBL Bank DMI Finance Credit Card
RBL Bank Platinum TravelEasy Visa Credit Card 
RBL Bank Platinum LifeEasy Visa Credit Card
RBL Bank Platinum TravelEasy Credit Card 
RBL Bank Platinum Edge Credit Card
RBL Bank Platinum LifeEasy Credit Card",
"Flat 15% OFF (Up to Rs. 2,000) - FED","Coupon Code : FEDEMI
 Validity: Sep 30, 2025",https://www.yatra.com/offer/details/federal-bank-emi-offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/dc53ddd7f749712fa117bd5becf3eb67.jpg,"Federal Bank MagniFi Credit Card 
Federal Bank Scapia Credit Card
Federal Bank Mastercard Signet
Federal Bank AmpliFi Credit Card
Federal Bank Rupay Signet Credit Card
Federal Bank Visa Celesta
Federal Bank Visa Imperio
Federal Bank Rupay Wave Credit Card 
Fed Starbiz Rupay Credit Card", 
"Flat 15% OFF (max. Rs.1,500) - FED","Coupon Code : FEDSAVVIDYADC
 Validity: Sep 30, 2025",https://www.yatra.com/offer/details/federal-bank-debit-card-offers,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jun/85c695736fc7cc7b5092faaf197f5bcd.jpg,,"Visa Celesta Contactless Debit Card
Visa Imperio Contactless Debit Card
Visa Crown Contactless Debit Card
Visa FedFirst Contactless Debit Card
Mastercard Celesta Contactless Debit Card
Mastercard Imperio Contactless Debit Card
Mastercard Crown Contactless Debit Card
Rupay Crown Debit Card
Rupay Platinum Contactless Debit Card
RuPay PMJDY Debit Card
Federal Visa Celesta Contactless Debit Card
Federal Visa Imperio Contactless Debit Card
Federal Visa Crown Contactless Debit Card
Federal Visa FedFirst Contactless Debit Card
Federal Mastercard Celesta Contactless Debit Card
Federal Mastercard Imperio Contactless Debit Card
Federal Mastercard Crown Contactless Debit Card
Federal Rupay Crown Debit Card
Federal Rupay Platinum Contactless Debit Card
Federal RuPay PMJDY Debit Card"
